value,censored
8.743108190098317,1
14.992036339750758,1
12.848935494155976,1
8.0,0
10.26419924409439,1
16.954309611291453,1
8.0,0
10.713262113431469,1
15.797808776116602,1
9.399778793204694,1
9.963341545133837,1
11.715873093189327,1
16.230232320323232,1
10.083294009946048,1
10.668054121061804,1
10.696946173144449,1
18.61779024817637,1
18.560358266921362,1
15.012161693636632,1
13.158559197524568,1
14.212105727688726,1
16.4721960844524,1
9.192498394792826,1
15.527487134346309,1
8.238357996752963,1
10.08674549263977,1
14.721315587400904,1
8.0,0
11.579793839434002,1
9.414735312420945,1
11.233141888408209,1
8.0,0
8.0,0
9.90036829620625,1
14.782387295275747,1
11.479092951629353,1
12.008537747690433,1
14.064668133306855,1
9.361390970972845,1
12.850881971421874,1
9.583900445803152,1
8.0,0
10.827300618734697,1
13.721417587215173,1
13.015767152999405,1
11.96450851656354,1
19.177095797813177,1
13.238736480926336,1
14.936208017812039,1
18.71443001549386,1
8.117744030516253,1
8.88363536938514,1
17.23113667536879,1
9.605811794276812,1
12.08904969090999,1
15.207947908273045,1
14.672119173879512,1
17.264658545943327,1
16.48693241110041,1
15.20817800911721,1
9.681873857258426,1
14.384588003379655,1
12,0
8.021203620178632,1
16.251897139430557,1
14.4217096037357,1
12,0
11.300723817046759,1
8.40509656589764,1
12.598572220675898,1
13.405317358336934,1
9.506535047270162,1
15.486612147298588,1
8.708390860550898,1
8.0,0
15.119181272678102,1
10.789901885693677,1
11.621911244060955,1
9.48744983152484,1
8.0,0
15.765712124172655,1
9.933393048459235,1
16.982857464443818,1
14.421924558632186,1
11.05572555984762,1
8.7422927966194,1
9.802614039838629,1
8.36243060671449,1
18.261340078764555,1
12.493323690689476,1
15.450616627639896,1
8.197943852969317,1
12.543105388791012,1
15.533585816425735,1
10.994967714200952,1
15.093343376765226,1
8.7462962639827,1
8.0,0
13.138201836234408,1
10,0
13.926164067815494,1
8.0,0
14.136793906411555,1
19.794911781807944,1
11.926122055705559,1
12.102426386729524,1
12.538648453916037,1
8.0,0
13.27843991907093,1
8.0,0
10.716961205628587,1
15.72860864881121,1
9.794349131699772,1
13.5037469687022,1
15.038217161869111,1
12.836222568288,1
8.0,0
11.002574173945758,1
17.878234027164858,1
8.0,0
11.172641958401474,1
10.343675785535677,1
12.362242089291415,1
14.244646851561692,1
16.82607290406616,1
11.189302823972525,1
14.437023989930461,1
13.499220434595518,1
13.423041893615402,1
10.308228205420583,1
9.008035593672298,1
8.699870662137908,1
9.73068837180263,1
12.96505972759868,1
14.282848179384988,1
12.970406543570686,1
10.353134711412778,1
17.417910329797426,1
16.55659687089462,1
10.93799966174948,1
9.529705782043003,1
12.39064486247391,1
15.801895935163058,1
12.998294931762352,1
13.669646114730133,1
11.363759633173123,1
13.368812685606692,1
16.633633354368413,1
11.280993655566867,1
12.429923197523618,1
12.761449429648883,1
12.851176067313112,1
8.0,0
8.0,0
8.941034787234482,1
12.503826886205005,1
13.661568498009633,1
10.407976320679127,1
16.13177244860192,1
11.570472077021439,1
12.060947994703874,1
11.418108388342013,1
12.402080378239996,1
14.113422222130811,1
13.996960313736993,1
9.30473117817123,1
16.570991329435582,1
8.714920627719248,1
12.237681042271838,1
11.176810279432942,1
8.853024968044538,1
11.774638236078506,1
9.777558680122805,1
12.218721729828157,1
13.2092578836581,1
16.415788106919813,1
12.922152655882243,1
10.166323979085526,1
10.825140567841196,1
12.41993431834369,1
12.280382488386454,1
16.37876780468526,1
16.186058789270863,1
10.923192221273217,1
10.354073615441404,1
8.0,0
10.35323876003334,1
9.06582688174715,1
10.935526625715545,1
13.174752727050333,1
12.531576987596964,1
11.910095978857374,1
12.598746333265542,1
11.621646680307025,1
12.591056797630428,1
8.0,0
11.192119530747737,1
11.66744783684098,1
10.976214851380243,1
11.346161213691175,1
